currencyCode
AAVE
ADA
AINTI
AIOZ
ALGO
AR
ARB
ASTER
AUD
AVAX
BNB
BTC
DAI
DOGE
ETH
FET
HBAR
HYPE
KAS
LINK
LTC
NEAR
ONDO
OP
PAXG
POL
QNT
RENDER
RUNE
S
SOL
SUI
TAO
TFUEL
THETA
TON
TRX
UNI
USD
USDC
USDT
VELO
XLM
XRP
